run_id,prompt_language,task,prompt_condition,model,requested_model,resolved_model,temperature,top_p,max_output_tokens,seed,config_name,config_version,prompt_path,prompt_sha256,done,n_trials,parse_success_rate,invalid_response_count,source_path,adjusted_average_pumps,advantageous_choice_rate,average_earning_per_balloon,average_net_outcome,average_pumps,average_reward_per_trial,deck_A_rate,deck_B_rate,deck_C_rate,deck_D_rate,directed_exploration,exploration_rate,explosion_rate,horizon_effect,learning_curve_change,learning_slope,n_balloons,n_games,net_score,post_explosion_adjustment,post_loss_switching_rate,random_exploration_effect,switching_rate
en:horizon:baseline:20260708,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260708,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-01-a\en\horizon_baseline_seed-20260708.json,,,,,,54.413333333333334,,,,,0.4,0.05,,0.1,,,,40,,,,0.6802286724191207,0.391304347826087
en:horizon:baseline:20260709,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260709,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-01-a\en\horizon_baseline_seed-20260709.json,,,,,,52.27,,,,,0.65,0.02142857142857143,,-0.05,,,,40,,,,0.2169698886517042,0.3712374581939799
en:horizon:baseline:20260710,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260710,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-01-b\en\horizon_baseline_seed-20260710.json,,,,,,53.276666666666664,,,,,0.4,0.07857142857142857,,0.04999999999999999,,,,40,,,,-0.7265086850230305,0.3879598662207358
en:horizon:baseline:20260711,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260711,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-01-b\en\horizon_baseline_seed-20260711.json,,,,,,51.34,,,,,0.4,0.0,,0.0,,,,40,,,,0.19995559902414506,0.36454849498327757
en:horizon:baseline:20260712,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260712,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-02-a\en\horizon_baseline_seed-20260712.json,,,,,,55.836666666666666,,,,,0.45,0.02857142857142857,,0.05,,,,40,,,,0.310929840442991,0.391304347826087
en:horizon:baseline:20260713,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260713,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-02-a\en\horizon_baseline_seed-20260713.json,,,,,,55.013333333333335,,,,,0.55,0.014285714285714285,,0.0,,,,40,,,,0.17037614708582716,0.36789297658862874
en:horizon:baseline:20260714,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260714,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-02-b\en\horizon_baseline_seed-20260714.json,,,,,,54.36333333333334,,,,,0.5,0.06428571428571428,,0.05,,,,40,,,,0.2332473360117917,0.3879598662207358
en:horizon:baseline:20260715,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260715,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-02-b\en\horizon_baseline_seed-20260715.json,,,,,,54.09,,,,,0.5,0.02857142857142857,,0.05,,,,40,,,,0.613419619453085,0.4013377926421405
en:horizon:baseline:20260716,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260716,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-03-a\en\horizon_baseline_seed-20260716.json,,,,,,53.733333333333334,,,,,0.55,0.05714285714285714,,0.0,,,,40,,,,0.17881372611595392,0.40468227424749165
en:horizon:baseline:20260717,en,horizon,baseline,gpt-5.4,gpt-5.4,gpt-5.4-2026-03-05,0.7,1.0,16,20260717,experiment_config_stage01,0.7,prompts/bandit/baseline.md,d9ef2caf1c1c2c75c6277a51e909bdce0a3cf77d593e0f5f0fd64374f82bc116,true,300,1.0,0,outputs\model_comparison_en_v01\gpt-5.4\wave-03-a\en\horizon_baseline_seed-20260717.json,,,,,,49.25,,,,,0.6,0.014285714285714285,,0.0,,,,40,,,,0.10851503841089527,0.411371237458194
